82;82;CAFAM COLSEGUROS;BOGOTA;CL 17 9 82;;BOGOTÁ D.C.;CL 17 9 82
83;83;CAFAM COLSEGUROS EXITO;BOGOTA;CL 17 9 82 CE COLSEGUROS /CENTRO;;BOGOTÁ D.C.;CL 17 9 82 CE COLSEGUROS /CENTRO
84;84;DROGAS COLOMBIA FARMA SUCURSAL FONTIBON;BOGOTA;CL 17 99 91;;BOGOTÁ D.C.;CL 17 99 91
85;85;ASEFORMAS A R LTDA;BOGOTA;CL 17 A 69 96;;BOGOTÁ D.C.;CL 17 A 69 96
86;86;DROGUERIA PATRIA J Y N 2;META;CL 17 B 3 79 ESTE LC 2;;VILLAVICENCIO;CL 17 B 3 79 ESTE LC 2
87;87;@LEJO COMUNICACIONES I P;BOGOTA;CL 17 BIS 28 39;;BOGOTÁ D.C.;CL 17 BIS 28 39
88;88;MERKGUSTO NIZA;NORTE DE SANTANDER;CL 17 N 18 E 14;;CÚCUTA;CL 17 N 18 E 14
89;89;CIGARRERIA LA HORMIGUITA CALLE 17;BOGOTA;CL 17 S 13 26;;BOGOTÁ D.C.;CL 17 S 13 26
90;90;HIPERDROGUERIA MODERNA;BOGOTA;CL 17 SUR 11 B 41;;BOGOTÁ D.C.;CL 17 SUR 11 B 41
91;91;E Y R COMUNICACIONES INTEGRALES;BOGOTA;CL 17 SUR 24 F 04;;BOGOTÁ D.C.;CL 17 SUR 24 F 04
92;92;DROGAS BONAPAR;BOGOTA;CL 17 SUR 29 B 40;;BOGOTÁ D.C.;CL 17 SUR 29 B 40
93;93;HIPERDROGUERIA FARMACOS 2;BOGOTA;CL 17 SUR 8 A 27;;BOGOTÁ D.C.;CL 17 SUR 8 A 27
94;94;DROGAS LA 17;BOGOTA;CL 17 SUR 9 A 62;;BOGOTÁ D.C.;CL 17 SUR 9 A 62
95;95;JUMBO CALLE 170;BOGOTA;CL 170 64 47;;BOGOTÁ D.C.;CL 170 64 47
96;96;JUMBO CALLE 170 II;BOGOTA;CL 170 64 47 BR SAN JOSE;;BOGOTÁ D.C.;CL 170 64 47 BR SAN JOSE
97;97;ALKOSTO CL 170;BOGOTA;CL 170 AV BOYACA;;BOGOTÁ D.C.;CL 170 AV BOYACA
98;98;DROGUERIA SANA SALUD 170;BOGOTA;CL 172 22 A 05;;BOGOTÁ D.C.;CL 172 22 A 05
99;99;DROGUERIA EL PORTAL DE L 170 CYF;BOGOTA;CL 172 A 21 A 18;;BOGOTÁ D.C.;CL 172 A 21 A 18
100;100;LAVOMAR COSTURERO Y VARIEDADES;BOGOTA;CL 174 A 45 77;;BOGOTÁ D.C.;CL 174 A 45 77
